DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
243055,243055,Mk10,13:16:24 30-Jul-2023,Argos,B,41.7765,-69.8671,3079,4215,2248,100,,,,,,
243055,243055,Mk10,13:53:08 30-Jul-2023,Argos,B,41.7669,-69.8668,2828,4438,1802,84,,,,,,
243055,243055,Mk10,14:51:57 30-Jul-2023,Argos,B,41.7393,-69.8792,1396,29199,66,106,,,,,,
243055,243055,Mk10,15:22:09 30-Jul-2023,Argos,B,41.7487,-69.8846,1313,59890,28,101,,,,,,
243055,243055,Mk10,15:35:42 30-Jul-2023,Argos,B,41.7487,-69.8846,1396,6923,281,100,,,,,,
243055,243055,Mk10,16:09:45 30-Jul-2023,Argos,B,41.7486,-69.8896,1457,3717,571,101,,,,,,
243055,243055,Mk10,22:18:47 30-Jul-2023,Argos,A,41.7976,-69.7718,202,447,90,160,,,,,,
243055,243055,Mk10,22:31:54 30-Jul-2023,Argos,B,41.7975,-69.7591,400,1220,130,147,,,,,,
243055,243055,Mk10,22:53:24 30-Jul-2023,Argos,B,41.7973,-69.7592,745,950,583,117,,,,,,
243055,243055,Mk10,23:03:29 30-Jul-2023,Argos,B,41.7965,-69.7625,853,1072,678,112,,,,,,
243055,243055,Mk10,23:13:42 30-Jul-2023,Argos,A,41.7384,-69.7937,105,483,23,103,,,,,,
243055,243055,Mk10,23:57:38 30-Jul-2023,Argos,A,41.7035,-69.7382,219,450,106,130,,,,,,
243055,243055,Mk10,00:07:12 31-Jul-2023,Argos,1,41.7666,-69.8139,1365,3232,576,91,,,,,,
243055,243055,Mk10,09:18:35 31-Jul-2023,Argos,B,41.7268,-69.6660,25962,444415,1516,158,,,,,,
243055,243055,Mk10,09:37:51 31-Jul-2023,Argos,B,41.6847,-69.6492,15505,30329,7926,158,,,,,,
243055,243055,Mk10,09:54:25 31-Jul-2023,Argos,1,41.6638,-69.7074,1030,4941,214,83,,,,,,
243055,243055,Mk10,10:43:55 31-Jul-2023,Argos,B,41.6608,-69.7096,9730,13539,6992,88,,,,,,
243055,243055,Mk10,10:56:17 31-Jul-2023,Argos,B,41.6648,-69.7056,5471,139824,214,90,,,,,,
