DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
BOF1,267425,,Transmission,Mk10,1,08:39:14 09-Sep-2024,08:44:42 09-Sep-2024,Dive,1,Square,8.0,8.0,327,329,,
BOF1,267425,,Transmission,Mk10,1,08:44:42 09-Sep-2024,08:58:36 09-Sep-2024,Surface,,,,,833,835,323,511
BOF1,267425,,Transmission,Mk10,1,08:58:36 09-Sep-2024,09:04:06 09-Sep-2024,Dive,1,Square,11.0,11.0,329,331,,
BOF1,267425,,Transmission,Mk10,1,09:04:06 09-Sep-2024,09:05:20 09-Sep-2024,Surface,,,,,73,75,74,0
BOF1,267425,,Transmission,Mk10,1,09:05:20 09-Sep-2024,09:08:44 09-Sep-2024,Dive,1,Square,10.0,10.0,203,205,,
BOF1,267425,,Transmission,Mk10,1,09:08:44 09-Sep-2024,09:09:32 09-Sep-2024,Surface,,,,,47,49,48,0
BOF1,267425,,Transmission,Mk10,1,09:10:00 09-Sep-2024,09:42:46 09-Sep-2024,Message,10,,,,1956.000000,1976.000000,,
BOF1,267425,,Transmission,Mk10,1,09:10:00 09-Sep-2024,09:15:10 09-Sep-2024,Dive,1,Square,9.5,9.5,309,311,,
BOF1,267425,,Transmission,Mk10,1,09:15:10 09-Sep-2024,09:19:46 09-Sep-2024,Surface,,,,,275,277,98,178
BOF1,267425,,Transmission,Mk10,1,09:19:46 09-Sep-2024,09:25:20 09-Sep-2024,Dive,1,U,15.5,15.5,333,335,,
BOF1,267425,,Transmission,Mk10,1,09:25:20 09-Sep-2024,09:25:54 09-Sep-2024,Surface,,,,,33,35,34,0
BOF1,267425,,Transmission,Mk10,1,09:25:54 09-Sep-2024,09:31:36 09-Sep-2024,Dive,1,U,19.0,19.0,341,343,,
BOF1,267425,,Transmission,Mk10,1,09:31:36 09-Sep-2024,09:32:38 09-Sep-2024,Surface,,,,,61,63,62,0
BOF1,267425,,Transmission,Mk10,1,09:32:38 09-Sep-2024,09:37:22 09-Sep-2024,Dive,1,Square,19.5,19.5,283,285,,
