DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
234798,234798,,Mk10,00:00:00 03-Sep-2022,,,,0.000000,0.000000,Behavior,23.000000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 04-Sep-2022,,,,0.000000,0.000000,Status,21.500000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 05-Sep-2022,,,,0.000000,0.000000,Behavior,7.000000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 06-Sep-2022,,,,0.000000,0.000000,Status,18.500000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 07-Sep-2022,,,,0.000000,0.000000,Behavior,22.500000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 08-Sep-2022,,,,0.000000,0.000000,Behavior,27.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 09-Sep-2022,,,,0.000000,0.000000,Status,40.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 10-Sep-2022,,,,0.000000,0.000000,Behavior,32.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 11-Sep-2022,,,,0.000000,0.000000,Behavior,27.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 12-Sep-2022,,,,0.000000,0.000000,Behavior,44.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 13-Sep-2022,,,,0.000000,0.000000,Status,35.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 14-Sep-2022,,,,0.000000,0.000000,Behavior,18.000000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 15-Sep-2022,,,,0.000000,0.000000,Status,12.000000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 16-Sep-2022,,,,0.000000,0.000000,Behavior,8.500000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 17-Sep-2022,,,,0.000000,0.000000,Behavior,31.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 18-Sep-2022,,,,0.000000,0.000000,Behavior,30.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 19-Sep-2022,,,,0.000000,0.000000,Behavior,27.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 21-Sep-2022,,,,0.000000,0.000000,Behavior,31.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 22-Sep-2022,,,,0.000000,0.000000,Behavior,37.000000,3.750000,TimeSeries
234798,234798,,Mk10,00:00:00 23-Sep-2022,,,,0.000000,0.000000,Behavior,59.750000,0.750000,Behavior
234798,234798,,Mk10,00:00:00 24-Sep-2022,,,,0.000000,0.000000,Behavior,59.750000,0.750000,Behavior
234798,234798,,Mk10,00:00:00 25-Sep-2022,,,,0.000000,0.000000,Behavior,13.000000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 26-Sep-2022,,,,0.000000,0.000000,Status,31.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 27-Sep-2022,,,,0.000000,0.000000,Status,28.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 28-Sep-2022,,,,0.000000,0.000000,Behavior,29.000000,2.750000,TimeSeries
234798,234798,,Mk10,00:00:00 29-Sep-2022,,,,0.000000,0.000000,Behavior,10.500000,0.000000,Behavior
