DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
243062,243062,Mk10,12:43:30 12-Aug-2023,,,B,42.1116,-70.0922,CRC 11303.19488,20:00:00 10-Aug-2023,TAD,18,194,126,21,70,87,11,2,1,130,3,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,14:00:32 12-Aug-2023,,,A,42.0629,-70.1513,CRC 61123.32449,11:00:00 12-Aug-2023,TAD,30,236,62,24,180,82,154,96,238,0,0,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,15:37:21 12-Aug-2023,,,0,42.1501,-70.1831,CRC 24560.44396,14:02:00 12-Aug-2023,Behavior,181,255,14,24,224,129,206,38,70,84,200,241,82,182,205,12,99,76,181,92,122,27,42,82,193,12,50,67,186,58,240,
243062,243062,Mk10,15:59:09 12-Aug-2023,,,1,42.1108,-70.1049,CRC 8063.56203,15:59:09 12-Aug-2023,Fast-GPS,113,247,254,23,7,244,23,149,56,207,17,144,181,3,91,188,161,154,143,128,0,8,0,,,,,,,,,
243062,243062,Mk10,16:02:06 12-Aug-2023,,,1,42.1108,-70.1049,CRC 44736.52608,12:26:00 12-Aug-2023,Behavior,186,236,14,24,198,190,192,34,119,232,85,70,79,214,127,156,55,156,157,74,115,67,230,9,48,109,176,29,51,188,59,
243062,243062,Mk10,16:09:15 12-Aug-2023,,,0,42.0881,-70.1580,CRC 2334.2209,15:00:00 08-Oct-2023,DiveDepth,48,145,238,144,240,23,198,64,117,132,4,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,17:47:36 12-Aug-2023,,,1,42.1341,-70.1789,CRC 33656.9593,16:00:00 14-Aug-2023,DiveDepth,56,55,142,29,0,52,129,64,52,129,0,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,22:21:21 12-Aug-2023,,,B,42.1379,-70.2094,CRC 49106.52270,00:00:00 31-Aug-2023,TAD,27,253,46,62,12,24,163,171,233,30,131,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,23:41:46 12-Aug-2023,,,1,42.0970,-70.2338,CRC 8118.27312,06:00:00 12-Sep-2023,TAD,17,251,110,88,97,127,146,168,1,32,0,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,23:41:14 12-Aug-2023,,,B,42.0841,-70.2947,CRC 63304.60992,07:00:00 13-Aug-2023,DiveDepth,63,116,142,26,120,52,129,64,188,129,0,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,00:48:38 13-Aug-2023,,,B,42.0846,-70.3104,CRC 56703.56981,20:48:39 28-Oct-2022,Fast-GPS,125,215,250,185,79,9,208,227,252,52,63,54,254,25,252,50,1,161,155,,,,,,,,,,,,,
243062,243062,Mk10,02:31:47 13-Aug-2023,,,B,42.1033,-70.2919,CRC 14479.44238,16:12:43 12-Aug-2023,Fast-GPS,115,136,254,25,4,202,212,225,42,169,102,3,199,170,27,181,33,102,241,154,5,148,63,,,,,,,,,
243062,243062,Mk10,03:29:09 13-Aug-2023,,,A,42.1064,-70.2510,CRC 54540.63316,14:56:22 12-Aug-2023,Fast-GPS,125,80,206,24,231,133,151,184,175,139,47,37,111,215,76,180,32,70,70,34,227,110,165,,,,,,,,,
243062,243062,Mk10,03:29:37 13-Aug-2023,,,A,42.1064,-70.2510,CRC 50268.50260,21:00:00 10-Aug-2023,TimeSeries,220,69,206,21,88,1,194,151,50,179,170,177,220,233,234,157,251,50,169,197,234,149,241,199,43,30,179,40,106,143,40,
243062,243062,Mk10,11:58:15 13-Aug-2023,,,B,42.1071,-70.1195,CRC 18930.38001,11:58:15 13-Aug-2023,Status,4,164,168,190,142,8,160,53,135,199,192,5,0,136,67,253,64,0,3,73,242,128,142,6,255,163,60,,,,,
243062,243062,Mk10,13:41:21 13-Aug-2023,,,0,42.1028,-70.1476,CRC 56505.37985,19:46:00 12-Aug-2023,Behavior,189,203,158,25,59,128,240,44,66,34,6,241,98,30,166,20,139,144,168,131,60,84,132,39,139,42,196,172,76,0,0,
243062,243062,Mk10,13:52:25 13-Aug-2023,,,0,42.1028,-70.1476,CRC 57775.54827,22:00:00 12-Nov-2023,DiveDepth,62,26,254,217,105,65,36,54,73,133,23,65,194,178,76,141,227,5,172,25,23,197,232,248,192,180,46,73,85,64,0,
243062,243062,Mk10,14:49:40 13-Aug-2023,,,B,42.0770,-70.1539,CRC 51253.26676,07:11:39 11-Aug-2023,Fast-GPS,124,131,94,22,116,185,209,213,4,206,5,22,176,119,61,42,145,152,11,128,0,0,128,,,,,,,,,
243062,243062,Mk10,15:24:41 13-Aug-2023,,,A,41.9930,-70.0208,CRC 46742.56106,09:19:00 12-Aug-2023,Behavior,187,105,110,24,148,194,163,5,144,168,115,56,56,132,194,169,144,129,8,3,83,65,18,12,0,71,84,18,113,64,87,
243062,243062,Mk10,15:58:40 13-Aug-2023,,,0,42.1461,-70.2091,CRC 23162.59268,20:08:00 11-Aug-2023,Behavior,181,167,174,23,66,0,216,40,1,176,134,65,32,15,130,46,8,0,128,49,136,72,47,247,77,227,17,140,156,227,5,
243062,243062,Mk10,17:38:30 13-Aug-2023,,,B,42.0943,-70.2655,CRC 20245.14373,05:00:00 12-Aug-2023,DiveDuration,68,241,94,24,80,56,130,66,0,8,0,51,162,0,145,,,,,,,,,,,,,,,,,
243062,243062,Mk10,21:49:28 13-Aug-2023,,,B,41.9873,-70.0742,CRC 58490.20807,17:00:00 03-Aug-2023,TimeSeries,222,71,174,7,27,213,179,85,71,155,65,32,57,11,231,144,127,167,128,96,0,128,8,30,135,136,104,120,3,180,70,
243062,243062,Mk10,23:14:02 13-Aug-2023,,,B,42.1511,-70.2719,CRC 4879.61198,21:00:00 11-Aug-2023,DiveDuration,65,48,254,23,80,54,131,5,4,0,0,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,23:45:28 13-Aug-2023,,,B,42.1372,-70.2763,CRC 20555.49866,05:40:00 09-Aug-2022,LinkedTemperature,197,4,186,18,86,138,170,170,170,170,170,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,23:50:37 13-Aug-2023,,,B,42.1372,-70.2763,CRC 32285.8565,07:40:24 15-Aug-2023,Fast-GPS,119,225,222,30,118,134,19,205,234,18,139,16,95,139,2,33,3,164,159,64,0,0,0,,,,,,,,,
243062,243062,Mk10,02:30:00 14-Aug-2023,,,B,42.1271,-70.2818,CRC 27438.33378,13:00:00 11-Aug-2023,TAD,22,178,238,22,212,58,235,116,218,68,155,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,04:07:31 14-Aug-2023,,,B,42.1243,-70.2880,CRC 1890.7747,04:07:31 14-Aug-2023,Fast-GPS,112,118,46,26,6,223,87,66,79,232,231,13,182,204,88,86,162,185,210,237,9,26,31,,,,,,,,,
