DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 05-Aug-2022,186.000000,1,0,,,,8,100,60.1,12.0,16.0,9.7,1.9,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 06-Aug-2022,186.000000,1,0,,,,8,100.000000,55.4,8.5,19.6,9.3,4.3,2.6,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,14:00:00 04-Jul-2022,184.000000,1,0,,,,8,74,0,0,1,10,19,44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 06-Jul-2022,184.000000,2,0,,,,8,126,14,3,16,45,39,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 07-Jul-2022,184.000000,1,0,,,,8,143,10,2,13,45,48,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 08-Jul-2022,184.000000,4,0,,,,8,96,0,3,7,34,20,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 09-Jul-2022,184.000000,2,0,,,,8,113,11,3,7,9,26,57,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 10-Jul-2022,184.000000,3,0,,,,8,137,5,9,8,20,27,68,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 11-Jul-2022,184.000000,1,0,,,,8,99,0,1,7,12,46,33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 12-Jul-2022,184.000000,1,0,,,,8,100,2,0,5,39,39,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 13-Jul-2022,184.000000,4,0,,,,8,140,13,1,4,14,30,77,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 14-Jul-2022,184.000000,1,0,,,,8,108,5,1,10,2,12,56,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 16-Jul-2022,185.000000,4,0,,,,8,149,25,7,21,42,32,20,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 18-Jul-2022,185.000000,2,0,,,,8,100,10,3,4,9,20,48,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 19-Jul-2022,185.000000,2,0,,,,8,73,9,9,9,15,13,17,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 20-Jul-2022,185.000000,3,0,,,,8,108,14,7,14,19,16,36,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 22-Jul-2022,185.000000,2,0,,,,8,137,35,6,9,20,28,37,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 23-Jul-2022,185.000000,2,0,,,,8,136,20,7,14,37,42,14,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 24-Jul-2022,185.000000,3,0,,,,8,147,28,8,9,16,36,50,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 25-Jul-2022,185.000000,1,0,,,,8,91,11,4,12,28,31,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 26-Jul-2022,185.000000,3,0,,,,8,144,37,6,21,36,32,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 27-Jul-2022,185.000000,2,0,,,,8,168,35,14,24,41,40,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 28-Jul-2022,185.000000,1,0,,,,8,159,49,8,28,30,38,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 29-Jul-2022,185.000000,2,0,,,,8,161,49,13,26,42,19,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 30-Jul-2022,185.000000,4,0,,,,8,141,46,16,25,25,24,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,DiveDepth,00:00:00 31-Jul-2022,186.000000,2,0,,,,8,173,35,21,19,12,37,49,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
