DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
BOF2,267426,Mk10,14:17:41 11-Aug-2024,Argos,B,44.7102,-66.6641,4455,7816,2538,94,,,,,,
BOF2,267426,Mk10,14:17:41 11-Aug-2024,Argos,B,44.7321,-66.7389,4320,6705,2783,92,,,,,,
BOF2,267426,Mk10,15:00:07 11-Aug-2024,Argos,B,44.6922,-66.5650,1714,8497,345,23,,,,,,
BOF2,267426,Mk10,15:10:01 11-Aug-2024,Argos,B,44.6932,-66.5514,1530,3233,724,25,,,,,,
BOF2,267426,Mk10,16:44:39 11-Aug-2024,Argos,B,44.6706,-66.4463,2626,3174,2171,80,,,,,,
BOF2,267426,Mk10,16:57:49 11-Aug-2024,Argos,B,44.6729,-66.4497,1925,2359,1570,79,,,,,,
BOF2,267426,Mk10,20:18:34 11-Aug-2024,Argos,B,44.6283,-66.2240,2501,3651,1712,80,,,,,,
BOF2,267426,Mk10,22:02:10 11-Aug-2024,Argos,B,44.6271,-66.3268,7770,55981,1078,98,,,,,,
BOF2,267426,Mk10,22:23:01 11-Aug-2024,Argos,B,44.5840,-66.2219,7990,114688,556,97,,,,,,
BOF2,267426,Mk10,23:33:35 11-Aug-2024,Argos,B,44.5274,-66.2497,1071,5139,223,176,,,,,,
BOF2,267426,Mk10,23:40:03 11-Aug-2024,Argos,A,44.4751,-66.2393,298,1509,58,76,,,,,,
BOF2,267426,Mk10,00:06:45 12-Aug-2024,Argos,B,44.4760,-66.2351,2712,4342,1693,83,,,,,,
BOF2,267426,Mk10,00:07:01 12-Aug-2024,Argos,B,44.4611,-66.2319,1869,4719,740,106,,,,,,
BOF2,267426,Mk10,00:55:32 12-Aug-2024,Argos,B,44.3941,-66.3014,1073,14616,78,87,,,,,,
BOF2,267426,Mk10,00:55:32 12-Aug-2024,Argos,A,44.3941,-66.3022,967,12543,74,87,,,,,,
BOF2,267426,Mk10,01:47:19 12-Aug-2024,Argos,B,44.3510,-66.2951,2530,4016,1593,90,,,,,,
BOF2,267426,Mk10,02:32:54 12-Aug-2024,Argos,A,44.3552,-66.2998,216,364,127,15,,,,,,
BOF2,267426,Mk10,02:34:01 12-Aug-2024,Argos,B,44.3290,-66.3251,1380,6177,308,37,,,,,,
BOF2,267426,Mk10,02:36:41 12-Aug-2024,Argos,B,44.3513,-66.3036,492,1608,150,2,,,,,,
BOF2,267426,Mk10,03:33:28 12-Aug-2024,Argos,B,44.3371,-66.2996,794,3344,188,73,,,,,,
BOF2,267426,Mk10,04:13:02 12-Aug-2024,Argos,A,44.3314,-66.2831,322,1598,64,41,,,,,,
BOF2,267426,Mk10,09:13:53 12-Aug-2024,Argos,0,44.3097,-66.6256,1613,8720,298,55,,,,,,
BOF2,267426,Mk10,10:00:14 12-Aug-2024,Argos,B,44.2909,-66.6385,4236,5996,2992,87,,,,,,
BOF2,267426,Mk10,10:07:16 12-Aug-2024,Argos,B,44.3229,-66.6307,2746,33460,225,76,,,,,,
BOF2,267426,Mk10,10:38:08 12-Aug-2024,Argos,B,44.3149,-66.7370,4267,25844,704,62,,,,,,
BOF2,267426,Mk10,11:03:29 12-Aug-2024,Argos,B,44.2248,-66.6695,5804,10596,3179,95,,,,,,
BOF2,267426,Mk10,11:35:16 12-Aug-2024,Argos,0,44.2502,-66.8737,8619,103944,714,57,,,,,,
BOF2,267426,Mk10,12:11:02 12-Aug-2024,Argos,B,44.2306,-66.9613,10333,18415,5797,67,,,,,,
BOF2,267426,Mk10,13:15:03 12-Aug-2024,Argos,B,44.2321,-67.0956,12192,18174,8178,79,,,,,,
BOF2,267426,Mk10,13:15:23 12-Aug-2024,Argos,B,44.1800,-67.1208,6933,19260,2495,94,,,,,,
BOF2,267426,Mk10,13:57:31 12-Aug-2024,Argos,0,44.0066,-66.9354,3986,51701,307,78,,,,,,
BOF2,267426,Mk10,13:57:31 12-Aug-2024,Argos,B,44.0071,-66.9330,2202,27104,178,78,,,,,,
