DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
CCS-0521,234800,Mk10,DS,4,0,3,118,33,10:55:07 30-Jul-2022,NK,0,41.0620,-71.0608,41.0620,-71.0608,46,,401677775,-137
CCS-0521,234800,Mk10,DS,2,0,0,35,35,12:08:59 30-Jul-2022,SR,B,41.0374,-71.1571,41.0374,-71.1571,8,,401677781,-135
CCS-0521,234800,Mk10,DS,1,0,0,,,12:24:42 30-Jul-2022,NP,B,41.0321,-71.1622,41.0321,-71.1622,6,,401677789,-131
CCS-0521,234800,Mk10,DS,2,0,1,338,338,12:36:06 30-Jul-2022,NK,B,41.0415,-71.1259,41.0415,-71.1259,6,,401677787,-125
CCS-0521,234800,Mk10,DS,2,0,1,40,40,13:03:44 30-Jul-2022,MC,B,41.0832,-71.0997,41.0832,-71.0997,8,,401677763,-125
CCS-0521,234800,Mk10,DS,1,0,0,,,13:55:18 30-Jul-2022,NN,B,41.0864,-71.1170,41.0864,-71.1170,6,,401677805,-128
CCS-0521,234800,Mk10,DS,4,0,2,134,30,13:57:26 30-Jul-2022,NP,0,41.0317,-71.2383,41.0317,-71.2383,47,,401677777,-127
CCS-0521,234800,Mk10,DS,1,0,1,,,14:13:38 30-Jul-2022,NK,B,41.0335,-71.2377,41.0335,-71.2377,6,,401677779,-131
CCS-0521,234800,Mk10,DS,7,0,6,111,15,14:41:34 30-Jul-2022,MC,0,41.0717,-71.2555,41.0717,-71.2555,48,,401677786,-115
CCS-0521,234800,Mk10,DS,6,0,1,39,16,15:35:08 30-Jul-2022,NN,0,41.0786,-71.3228,41.0786,-71.3228,48,,401677756,-121
CCS-0521,234800,Mk10,DS,3,0,2,29,18,15:37:33 30-Jul-2022,MB,A,40.9969,-71.3571,40.9969,-71.3571,6,,401677770,-127
CCS-0521,234800,Mk10,DS,3,0,2,20,15,16:28:46 30-Jul-2022,MC,A,40.9911,-71.4611,40.9911,-71.4611,8,,401677760,-131
